gender.mm	gender.mf	indigenous.both	indigenous.one	religion.same	age_difference_abs	average_age	wealth_difference_abs	average_wealth	education_difference_abs	average_education	household_same	related	strain_sharing_rate	village_code_w3	bray_curtis_sim
FALSE	FALSE	FALSE	TRUE	TRUE	13	25.5	2	2	1	5.5	FALSE	0	3.75	21	0.8367710244843464
TRUE	FALSE	TRUE	FALSE	TRUE	26	44	0	2	3	1.5	FALSE	0	18.867924528301888	21	0.45841729168345796
FALSE	FALSE	TRUE	FALSE	TRUE	20	43	0	4	3	1.5	FALSE	0	8.641975308641975	21	0.6297757444663625
TRUE	FALSE	FALSE	FALSE	TRUE	6	20	1	1.5	2	4	FALSE	0	12.5	21	0.5510104897979018
FALSE	FALSE	FALSE	TRUE	FALSE	29	30.5	1	3.5	6	3	FALSE	0	13.924050632911392	21	0.33762377009901523
FALSE	TRUE	TRUE	FALSE	TRUE	3	35.5	3	2.5	3	4.5	FALSE	0	10	21	0.6744979813755047
FALSE	FALSE	TRUE	FALSE	TRUE	20	27	0	4	1	6.5	FALSE	0	8.51063829787234	21	0.5815351255394617
FALSE	TRUE	TRUE	FALSE	TRUE	12	34	2	4	2	5	FALSE	0	5.357142857142857	21	0.55906196771859
FALSE	TRUE	TRUE	FALSE	TRUE	2	36	1	2.5	6	3	FALSE	0	4.819277108433735	21	0.6007112397510663
FALSE	TRUE	FALSE	TRUE	TRUE	7	19.5	1	1.5	2	4	FALSE	0	5.88235294117647	21	0.7247415513921479
FALSE	FALSE	TRUE	FALSE	FALSE	20	35	0	4	6	3	FALSE	0	10.526315789473683	21	0.4421475442147538
FALSE	FALSE	TRUE	FALSE	FALSE	4	47	2	3	0	0	FALSE	0	7.865168539325842	21	0.6461781115445281
FALSE	FALSE	FALSE	TRUE	FALSE	16	34	0	2	3	1.5	FALSE	0	8.571428571428571	21	0.49906977588371376
FALSE	TRUE	FALSE	TRUE	FALSE	15	30.5	2	2	2	5	FALSE	0	8.823529411764707	21	0.5002904503775849
FALSE	TRUE	TRUE	FALSE	TRUE	60	49	3	2.5	6	3	FALSE	0	11.627906976744185	21	0.8714705064264743
FALSE	TRUE	TRUE	FALSE	TRUE	10	38	2	3	1	2.5	FALSE	0	6.756756756756757	21	0.5325438662719338
FALSE	TRUE	FALSE	TRUE	TRUE	21	27.5	1	3.5	5	4.5	FALSE	0	5.714285714285714	21	0.5698165000000003
FALSE	TRUE	FALSE	TRUE	TRUE	6	26	1	3.5	0	4	FALSE	0	9.482758620689655	21	0.6982193754451558
FALSE	FALSE	TRUE	FALSE	TRUE	1	23.5	0	5	2	3	FALSE	0	11.320754716981133	21	0.5806773161354626
TRUE	FALSE	FALSE	TRUE	TRUE	12	22	1	4.5	0	6	FALSE	0	0	21	0.7036762184924075
FALSE	FALSE	TRUE	FALSE	TRUE	4	51	1	4.5	0	0	FALSE	0	5.555555555555555	21	0.6972964421628451
FALSE	FALSE	FALSE	TRUE	FALSE	16	31	1	1.5	1	2.5	FALSE	0	18.493150684931507	21	0.6223381021295183
FALSE	TRUE	FALSE	FALSE	TRUE	51	41.5	1	2.5	5	2.5	FALSE	0	11.320754716981133	21	0.6762731705092684
FALSE	TRUE	TRUE	FALSE	TRUE	26	36	4	3	2	3	FALSE	0	15.254237288135593	21	0.5641798871640218
TRUE	FALSE	FALSE	TRUE	TRUE	11	28.5	0	1	1	2.5	FALSE	0	4.166666666666666	21	0.46914046542976706
FALSE	TRUE	FALSE	TRUE	TRUE	17	25.5	0	2	5	2.5	FALSE	0	8.411214953271028	21	0.5462877638863289
