gender.mm	gender.mf	indigenous.both	indigenous.one	religion.same	age_difference_abs	average_age	wealth_difference_abs	average_wealth	education_difference_abs	average_education	household_same	related	strain_sharing_rate	village_code_w3	bray_curtis_sim
FALSE	FALSE	TRUE	FALSE	TRUE	26	29	0	2	6	3	FALSE	0	6.329113924050633	21	0.6500289274811966
FALSE	TRUE	TRUE	FALSE	TRUE	2	33	2	2	2	4	FALSE	0	8.333333333333332	21	0.6844213315578669
FALSE	TRUE	FALSE	TRUE	TRUE	34	55	2	2	2	1	FALSE	0	7.792207792207792	21	0.5130473782618439
TRUE	FALSE	FALSE	TRUE	TRUE	38	48	0	3	2	4	FALSE	0	8.527131782945736	21	0.5588300779415034
TRUE	FALSE	FALSE	FALSE	FALSE	0	23	2	2	2	5	FALSE	0	6.756756756756757	21	0.6400147300110485
TRUE	FALSE	TRUE	FALSE	TRUE	18	28	1	3.5	5	3.5	FALSE	0	6	21	0.32794329838299
FALSE	TRUE	TRUE	FALSE	FALSE	3	31.5	1	2.5	5	4.5	FALSE	0	4.3478260869565215	21	0.5253191898723235
FALSE	FALSE	FALSE	TRUE	TRUE	29	36.5	1	1.5	2	1	FALSE	0	5.970149253731343	21	0.55431705598903
TRUE	FALSE	TRUE	FALSE	TRUE	1	31.5	0	2	2	4	FALSE	0	10.989010989010989	21	0.4562589903093543
FALSE	FALSE	FALSE	TRUE	TRUE	1	37.5	2	4	3	1.5	FALSE	0	13.274336283185843	21	0.6783584035075207
FALSE	TRUE	TRUE	FALSE	TRUE	10	52	1	1.5	2	1	FALSE	0	9.58904109589041	21	0.6356067356067355
FALSE	TRUE	FALSE	TRUE	TRUE	38	38	1	2.5	5	2.5	FALSE	0	4.3478260869565215	21	0.6609024186841536
FALSE	TRUE	FALSE	TRUE	TRUE	45	44.5	4	3	2	3	FALSE	0	5.405405405405405	21	0.7600807520161504
FALSE	FALSE	TRUE	FALSE	TRUE	13	35.5	2	3	4	2	FALSE	0	10.077519379844961	21	0.6354212005183401
FALSE	FALSE	FALSE	TRUE	TRUE	30	42	1	2.5	5	2.5	FALSE	0	7.07070707070707	21	0.7137963715509076
FALSE	FALSE	FALSE	TRUE	TRUE	10	28	0	2	3	3.5	FALSE	0	9.411764705882353	21	0.7892856264286248
TRUE	FALSE	FALSE	TRUE	TRUE	22	27	2	2	4	3	FALSE	0	10.344827586206897	21	0.6291175072793782
FALSE	TRUE	TRUE	FALSE	TRUE	12	37	2	4	5	3.5	FALSE	0	3.7735849056603774	21	0.559306611861323
FALSE	FALSE	FALSE	TRUE	TRUE	18	26	2	3	3	4.5	FALSE	0	1.2345679012345678	21	0.7111978555989283
