a2701_numeric_max	a2702_numeric_max	strain_sharing_rate
4	4	13.636363636363635
4	4	8.461538461538462
3	3	11.702127659574469
4	4	13.186813186813188
4	4	41.935483870967744
4	4	10
4	3	30.434782608695656
4	1	0
4	4	3.7037037037037033
4	4	12.5
3	3	2.459016393442623
2	2	10.344827586206897
4	4	7.462686567164178
3	1	24.409448818897637
3	3	22.22222222222222
3	1	5.633802816901409
4	4	12
4	3	20
3	3	4.3478260869565215
4	1	10.714285714285714
4	3	12.380952380952381
4	3	22.61904761904762
4	4	12.962962962962962
1	1	12.121212121212121
4	4	11.818181818181818
4	4	19.318181818181817
4	3	12.5
4	1	24.242424242424242
4	4	5.769230769230769
4	4	9.803921568627452
4	4	1.7857142857142856
3	3	10
4	4	16.666666666666664
3	3	13.793103448275861
3	1	10.714285714285714
1	2	16.27906976744186
4	4	42.857142857142854
3	1	9.45945945945946
4	1	15.04424778761062
3	1	12.5
2	2	6.976744186046512
3	3	11.11111111111111
4	4	2.631578947368421
3	1	12.5
4	4	20.212765957446805
1	1	19.11764705882353
4	4	24.324324324324326
3	2	5.88235294117647
3	2	9.090909090909092
4	4	14.893617021276595
2	2	16.216216216216218
4	3	23.91304347826087
2	2	12.76595744680851
4	4	13.636363636363635
4	4	24.444444444444443
2	1	2.5
4	4	6.0606060606060606
4	4	6.896551724137931
4	2	7.954545454545454
4	4	6.578947368421052
3	3	6.593406593406594
4	4	14.87603305785124
4	4	3.389830508474576
4	4	21.568627450980394
4	4	4.25531914893617
4	1	6.25
4	4	21.69811320754717
3	3	16.8141592920354
4	3	10
4	1	0
4	4	4.166666666666666
4	4	15
4	4	14.516129032258066
4	4	10.76923076923077
4	4	17.142857142857142
3	1	0
4	4	12.5
4	3	9.375
4	4	16.666666666666664
3	3	11.76470588235294
4	4	7.936507936507936
3	3	10.76923076923077
4	2	8.24742268041237
4	4	16.666666666666664
4	4	22.972972972972975
4	4	6.666666666666667
4	4	2.631578947368421
4	4	17.105263157894736
4	3	18.51851851851852
4	1	7.6923076923076925
3	1	2.941176470588235
3	3	6.382978723404255
4	3	11.320754716981133
4	3	10
3	3	15.217391304347828
4	3	15.789473684210526
4	3	6.25
4	4	17.5
4	4	19.047619047619047
4	2	13.114754098360656
4	4	10.588235294117647
4	4	9.75609756097561
4	3	10.638297872340425
4	4	11.76470588235294
4	4	0
4	4	20.689655172413794
4	4	20.869565217391305
4	4	2.1739130434782608
4	4	12.5
4	4	0
4	4	30.434782608695656
4	4	13.636363636363635
4	4	44.57831325301205
3	3	5.555555555555555
4	4	9.090909090909092
2	2	10
4	4	20
4	4	18.421052631578945
4	4	21.153846153846153
3	3	2.083333333333333
4	4	1.7543859649122806
3	3	14.000000000000002
4	4	13.88888888888889
4	3	1.4925373134328357
4	3	7.8125
4	1	4.545454545454546
4	4	21.904761904761905
4	4	8
4	4	13.636363636363635
3	3	4.411764705882353
4	4	5.454545454545454
4	4	12.5
3	2	3.614457831325301
3	3	6.25
4	4	10.76923076923077
4	1	9.90990990990991
4	4	34.92063492063492
4	4	39.21568627450981
4	3	6.666666666666667
4	3	10.465116279069768
4	3	5.555555555555555
4	4	17.391304347826086
4	4	16.883116883116884
4	4	10
4	4	16.9811320754717
4	3	16.666666666666664
4	3	8.333333333333332
1	1	10.483870967741936
4	4	10.588235294117647
4	3	0
4	4	8.108108108108109
3	3	1.4925373134328357
3	4	0
4	4	14.457831325301203
4	4	40
4	4	19.480519480519483
4	1	16.94915254237288
4	4	9.230769230769232
2	2	1.694915254237288
4	4	6.451612903225806
4	4	4
4	3	8.860759493670885
3	3	9.649122807017543
4	4	7.746478873239436
4	1	20.74074074074074
4	4	10.687022900763358
4	4	15.873015873015872
4	1	12.056737588652481
4	3	0
4	3	0
3	3	2.631578947368421
3	1	4.444444444444445
4	4	13.414634146341465
4	4	6.024096385542169
4	4	3.8461538461538463
4	4	9.45945945945946
4	4	22.435897435897438
4	3	11.538461538461538
4	4	6.0606060606060606
4	4	2.3255813953488373
3	4	12.76595744680851
4	4	10.714285714285714
4	4	14.492753623188406
4	1	3.3333333333333335
3	3	18.823529411764707
3	3	5.88235294117647
4	4	0
4	1	16.94915254237288
4	4	20.54794520547945
4	1	2.380952380952381
4	4	14.516129032258066
4	4	23.684210526315788
4	4	18.181818181818183
4	4	16.822429906542055
4	4	28.125
4	4	13.043478260869565
4	4	7.6923076923076925
3	2	6.153846153846154
4	4	31.03448275862069
4	1	8.823529411764707
2	2	5.405405405405405
4	4	6
3	3	16.260162601626014
4	4	10.714285714285714
4	4	12
3	2	10.256410256410255
4	4	14.000000000000002
