ego	alter	pair	tie	village_code_ego	village_code_alter	T2	T1
Ers1-7806f172-80e6-4092-a88f-8b00cf13858f	enz0-e0418873-4ffa-47ab-a196-48d110f348fd	----------00000000111111122333444444566677778888888888899aaaabbcddeeeEffffffffnrsz	yes	26	26	0.234375	0.18181818181818182
Ers1-7806f172-80e6-4092-a88f-8b00cf13858f	enz0-47004d4f-1d9a-493b-bed4-5d583ed68e88	----------0000000011112233344444455566677788888888888999aabbbcdddddeeeeeEfffffnrsz	none	26	26	0.10869565217391304	0.1076923076923077
enz0-47004d4f-1d9a-493b-bed4-5d583ed68e88	enz0-e0418873-4ffa-47ab-a196-48d110f348fd	----------0000001111133334444444444556677788888888999aaaabbbdddddddeeeeeefffffnnzz	none	26	26	0.14084507042253522	0.13580246913580246
Ers1-7806f172-80e6-4092-a88f-8b00cf13858f	Obit-7aa78729-f2cd-4f93-a3f7-edd7be22d172	----------0000011112222222333445667777777788888888999aaaabbbccddddeeeEfffffffiOrst	yes	26	26	0.1346153846153846	0.17073170731707318
Obit-7aa78729-f2cd-4f93-a3f7-edd7be22d172	enz0-e0418873-4ffa-47ab-a196-48d110f348fd	----------0001111122222333344444467777777788888999aaaaaabbbcddddddeeeefffffffinOtz	yes	26	26	0.2289156626506024	0.20618556701030927
Obit-7aa78729-f2cd-4f93-a3f7-edd7be22d172	enz0-47004d4f-1d9a-493b-bed4-5d583ed68e88	----------000112222233334444445567777777888889999aaaabbbbcdddddddddeeeeeeffffinOtz	none	26	26	0.08771929824561403	0.13333333333333333
Ers1-7806f172-80e6-4092-a88f-8b00cf13858f	blkH-f76107be-0a15-446b-8f07-b58b8379db6e	----------0000000011111223344455566666777777888888888899aabbbbbbbcdeeeEffffffHklrs	none	26	26	0.125	0.09836065573770492
blkH-f76107be-0a15-446b-8f07-b58b8379db6e	enz0-e0418873-4ffa-47ab-a196-48d110f348fd	----------0000001111113334444444556666777777888888899aaaabbbbbbbdddeeeeffffffHklnz	yes	26	26	0.10666666666666667	0.12643678160919541
blkH-f76107be-0a15-446b-8f07-b58b8379db6e	enz0-47004d4f-1d9a-493b-bed4-5d583ed68e88	----------000000111333444444455556666777778888888999aabbbbbbbbddddddeeeeeefffHklnz	yes	26	26	0.057692307692307696	0.06944444444444445
Obit-7aa78729-f2cd-4f93-a3f7-edd7be22d172	blkH-f76107be-0a15-446b-8f07-b58b8379db6e	----------000111222223334445566677777777778888999aaaabbbbbbbbcdddddeeeefffffHiklOt	none	26	26	0.08333333333333333	0.06329113924050633
Ers1-7806f172-80e6-4092-a88f-8b00cf13858f	blkH-24744230-1b97-4195-abb5-84936afd87fa	----------000000111112222333444444555666777778888888889999aaaabbbbbcdeEffffffHklrs	none	26	26	0.06521739130434782	0.06153846153846154
enz0-e0418873-4ffa-47ab-a196-48d110f348fd	blkH-24744230-1b97-4195-abb5-84936afd87fa	----------000011111122333344444444445566777778888889999aaaaaabbbbbdddeeffffffHklnz	none	26	26	0.1095890410958904	0.037037037037037035
enz0-47004d4f-1d9a-493b-bed4-5d583ed68e88	blkH-24744230-1b97-4195-abb5-84936afd87fa	----------00001112233334444444444555566777788888899999aaaabbbbbbddddddeeeefffHklnz	none	26	26	0.08333333333333333	0.08823529411764706
Obit-7aa78729-f2cd-4f93-a3f7-edd7be22d172	blkH-24744230-1b97-4195-abb5-84936afd87fa	----------01112222222333344444455677777777788899999aaaaaabbbbbbcdddddeefffffHiklOt	none	26	26	0.09090909090909091	0.06756756756756757
blkH-f76107be-0a15-446b-8f07-b58b8379db6e	blkH-24744230-1b97-4195-abb5-84936afd87fa	----------00001111223334444444555566667777777888889999aaaabbbbbbbbbbddeeffffHHkkll	yes	26	26	0.109375	0.043478260869565216
enz0-f05ca85d-82e0-40e0-abe7-0b0e96a9ba38	Ers1-340e84bd-06ba-4fb5-99ed-4a46dfffdb65	----------000000000123344444455556666788889999aaaaaabbbbbbbcdddddeeeeeeeEfffffnrsz	none	26	26	0	0
4lo4-ebedba06-2a6f-48ce-9501-3e8f248b3726	blkH-76ab9730-78c6-416e-b93b-60f97275edea	----------000011222233334444455666666677777788889999aaaabbbbbbbccddeeeeeeefffHkllo	none	26	26	0.10714285714285714	0.1111111111111111
Ers1-f3027bcc-c8c2-474e-af33-f14324abcbe6	enz0-f05ca85d-82e0-40e0-abe7-0b0e96a9ba38	----------0000000011222233333444445566777888899aaaaaabbbbbbccccccdeeeeeeeEffffnrsz	none	26	26	0.02564102564102564	0.08333333333333333
Ers1-f3027bcc-c8c2-474e-af33-f14324abcbe6	Ers1-340e84bd-06ba-4fb5-99ed-4a46dfffdb65	----------00011122233333444444444556666778899aaaabbbbbbbcccccddddeeeeEEfffffffrrss	none	26	26	0	0.05714285714285714
Ers1-72d1ba90-ff2b-4c74-8df8-9d8d03a429a3	4lo4-ebedba06-2a6f-48ce-9501-3e8f248b3726	----------00001112222223333444444456667778888889999aaaaabbbbbccdddddeeeeEffffflors	none	26	26	0.043478260869565216	0.03571428571428571
Ers1-72d1ba90-ff2b-4c74-8df8-9d8d03a429a3	blkH-76ab9730-78c6-416e-b93b-60f97275edea	----------00001112222333344445666677777778888999999aaaaabbbbbbccdddddeeeEffffHklrs	none	26	26	0	0.13793103448275862
blkH-f76107be-0a15-446b-8f07-b58b8379db6e	4lo4-ebedba06-2a6f-48ce-9501-3e8f248b3726	----------000001112223334444445556666667777788888899aaabbbbbbbbbcddeeeeeeffffHkllo	none	26	26	0.08695652173913043	0.08333333333333333
blkH-f76107be-0a15-446b-8f07-b58b8379db6e	blkH-76ab9730-78c6-416e-b93b-60f97275edea	----------000001112333444555666666677777777788889999aaabbbbbbbbbbcddeeeeefffHHkkll	none	26	26	0.029411764705882353	0.0958904109589041
