vils	obs
Azpeitia	0.06782048701952104
Mungia	0.11282525537012907
Basauri	0.2974303992772573
Erandio	0.09466605416415359
Bermeo	0.0406355104728615
Getxo	0.07557778151459489
Pasaia	0.26303208991077315
Zarautz	0.2035742035742036
Lekeitio	0.12159336072145945
Laguardia	0.1373990582600533
Zumaia	0.2150433944069431
Sestao	0.030507077092208332
Tolosa	0.060114942907252375
Getaria	0.3805386620330148
Hondarribia	0.12580882418278694
Ermua	0.09857627874061049
Irun	0.2749625043877844
Hernani	0.27421338984943233
