Effect	F	v1	v2	ncp	Rsq	upper.CL	lower.CL
Model	23.41422846483341	29	5337	679.0126254801689	0.11286755327013188	0.13294954310306656	0.10181297072059808
related	461.3275655258017	1	5337	461.3275655258017	0.07956217725066862	0.0936971076958879	0.06641315872510323
age_difference_abs	34.629253556854025	1	5337	34.629253556854025	0.006446694647424535	0.01141633274534826	0.0028760239418259437
average_wealth	28.76421594401505	1	5337	28.76421594401505	0.005360693237049827	0.009962757337739301	0.002164325518573454
indigenous.both	24.181104102103525	1	5337	24.181104102103525	0.004510406127411247	0.008796344324707956	0.0016354452634656735
average_age	23.40402508390612	1	5337	23.40402508390612	0.004366093483697766	0.00859537265648707	0.0015486890034321307
gender.mm	18.47974204553684	1	5337	18.47974204553684	0.0034506230880594208	0.007295258277732575	0.0010235626683301672
wealth_difference_abs	18.170405035065183	1	5337	18.170405035065183	0.0033930582335869115	0.007211830111251913	9.922199613612219e-4
same_usage_antiparasite	11.067141667590233	1	5337	11.067141667590233	0.002069372237563077	0.0052151016661095995	3.49853646041752e-4
indigenous.one	6.215010587525978	1	5337	6.215010587525978	0.0011631593666380628	0.003704959097159695	5.719843198767826e-5
household_same	4.4389388862949675	1	5337	4.4389388862949675	8.310380287189987e-4	0.003091987252597311	1.4305291434102263e-5
different_bristol	4.348275368221744	1	5337	4.348275368221744	8.140782334441546e-4	0.0030592771562440594	1.3178582941606233e-5
average_bristol	4.248010437927282	1	5337	4.248010437927282	7.953216981547705e-4	0.0030229075974057776	1.202499771334554e-5
different_diet	2.492309965185952	1	5337	2.492309965185952	4.667690897380845e-4	0.002342543840951181	2.2110503228426647e-6
same_usage_antifungal	1.952719773742404	1	5337	1.952719773742404	3.657495910218807e-4	0.0021090892187382963	1.293742880359765e-6
average_education	1.8323175913620466	1	5337	1.8323175913620466	3.4320568288398777e-4	0.002054567259469141	1.1475504604018952e-6
same_usage_antidiabetics	1.6139907673746134	1	5337	1.6139907673746134	3.0232393092399204e-4	0.0019528938875112184	9.231092567339875e-7
gender.mf	1.4872293194230006	1	5337	1.4872293194230006	2.785862840047667e-4	0.0018919667038107945	8.134536268044058e-7
same_usage_antiacids	1.3175314195550587	1	5337	1.3175314195550587	2.468064913337411e-4	0.0018078490754990092	6.867070880389284e-7
education_difference_abs	1.2368662875797645	1	5337	1.2368662875797645	2.316994016115905e-4	0.0017667018154080135	6.335655966631371e-7
same_usage_vitamins	1.1290078104096872	1	5337	1.1290078104096872	2.114987870764822e-4	0.001710353210120634	5.688640010055156e-7
average_diet	0.5255679385036688	1	5337	0.5255679385036688	9.846658939877591e-5	0.001355213163766212	3.1124946946186236e-7
same_usage_antibiotics	0.5203574503092753	1	5337	0.5203574503092753	9.749048536797448e-5	0.0013517356995816992	3.0963239180352366e-7
religion.same	0.44132589192643135	1	5337	0.44132589192643135	8.268491679441226e-5	0.0012977845617944549	2.8610943221706174e-7
same_usage_zinc	0.3154300289348165	1	5337	0.3154300289348165	5.9099004559508754e-5	0.0012065848049214543	2.5227036645814876e-7
same_usage_antihypertensives	0.16893987616149336	1	5337	0.16893987616149336	3.1653462362653504e-5	0.001090631395876685	2.1789781087364774e-7
same_usage_laxatives	0.11411178782380785	1	5337	0.11411178782380785	2.1380803451770818e-5	0.001044052721757676	2.0627310657812582e-7
same_usage_painkillers	0.056614826593974495	1	5337	0.056614826593974495	1.0607874467116547e-5	9.93168690561853e-4	1.9474789133068743e-7
same_usage_antidiarrheal	0.015347745300710439	1	5337	0.015347745300710439	2.875716913048473e-6	9.553297695328847e-4	1.8687487769791601e-7
watersource_same	0.007517107239966594	1	5337	0.007517107239966594	1.4084872872806088e-6	9.480254506582695e-4	1.8541724849236903e-7
